XsdFilePosition,Name,Type,SubstitutionGroup,IsAbstract,INullable
gmd\maintenance.xsd(74),MD_MaintenanceFrequencyCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\maintenance.xsd(84),MD_ScopeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\metadataApplication.xsd(75),DS_OtherAggregate,gmd:DS_OtherAggregate_Type,gmd:AbstractDS_Aggregate,FALSE,FALSE
gmd\metadataApplication.xsd(91),DS_Series,gmd:DS_Series_Type,gmd:AbstractDS_Aggregate,FALSE,FALSE
gmd\metadataApplication.xsd(107),DS_Initiative,gmd:DS_Initiative_Type,gmd:AbstractDS_Aggregate,FALSE,FALSE
gmd\metadataApplication.xsd(123),DS_Platform,gmd:DS_Platform_Type,gmd:DS_Series,FALSE,FALSE
gmd\metadataApplication.xsd(139),DS_Sensor,gmd:DS_Sensor_Type,gmd:DS_Series,FALSE,FALSE
gmd\metadataApplication.xsd(155),DS_ProductionSeries,gmd:DS_ProductionSeries_Type,gmd:DS_Series,FALSE,FALSE
gmd\metadataApplication.xsd(171),DS_StereoMate,gmd:DS_StereoMate_Type,gmd:DS_OtherAggregate,FALSE,FALSE
gmd\metadataExtension.xsd(86),MD_ObligationCode,gmd:MD_ObligationCode_Type,gco:CharacterString,FALSE,FALSE
gmd\metadataExtension.xsd(96),MD_DatatypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\referenceSystem.xsd(31),RS_Identifier,gmd:RS_Identifier_Type,gmd:MD_Identifier,FALSE,FALSE
gmd\spatialRepresentation.xsd(37),MD_GridSpatialRepresentation,gmd:MD_GridSpatialRepresentation_Type,gmd:AbstractMD_SpatialRepresentation,FALSE,FALSE
gmd\spatialRepresentation.xsd(61),MD_VectorSpatialRepresentation,gmd:MD_VectorSpatialRepresentation_Type,gmd:AbstractMD_SpatialRepresentation,FALSE,FALSE
gmd\spatialRepresentation.xsd(106),MD_Georeferenceable,gmd:MD_Georeferenceable_Type,gmd:MD_GridSpatialRepresentation,FALSE,FALSE
gmd\spatialRepresentation.xsd(154),MD_Georectified,gmd:MD_Georectified_Type,gmd:MD_GridSpatialRepresentation,FALSE,FALSE
gmd\spatialRepresentation.xsd(195),MD_PixelOrientationCode,gmd:MD_PixelOrientationCode_Type,gco:CharacterString,FALSE,FALSE
gmd\spatialRepresentation.xsd(205),MD_TopologyLevelCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\spatialRepresentation.xsd(215),MD_GeometricObjectTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\spatialRepresentation.xsd(225),MD_CellGeometryCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmd\spatialRepresentation.xsd(235),MD_DimensionNameTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\acquisitionInformation.xsd(320),MI_SequenceCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\acquisitionInformation.xsd(330),MI_TriggerCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\acquisitionInformation.xsd(340),MI_PriorityCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\acquisitionInformation.xsd(350),MI_GeometryTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\acquisitionInformation.xsd(360),MI_SensorTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\acquisitionInformation.xsd(370),MI_ObjectiveTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\acquisitionInformation.xsd(380),MI_OperationTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\acquisitionInformation.xsd(390),MI_ContextCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\contentInformation.xsd(55),MI_Band,gmi:MI_Band_Type,gmd:MD_Band,FALSE,FALSE
gmi\contentInformation.xsd(78),MI_CoverageDescription,gmi:MI_CoverageDescription_Type,gmd:MD_CoverageDescription,FALSE,FALSE
gmi\contentInformation.xsd(101),MI_ImageDescription,gmi:MI_ImageDescription_Type,gmd:MD_ImageDescription,FALSE,FALSE
gmi\contentInformation.xsd(112),MI_PolarisationOrientationCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\contentInformation.xsd(122),MI_TransferFunctionTypeCode,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\contentInformation.xsd(132),MI_BandDefinition,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gmi\dataQualityInformation.xsd(29),LE_ProcessStep,gmi:LE_ProcessStep_Type,gmd:LI_ProcessStep,FALSE,FALSE
gmi\dataQualityInformation.xsd(104),QE_CoverageResult,gmi:QE_CoverageResult_Type,gmd:AbstractDQ_Result,FALSE,FALSE
gmi\dataQualityInformation.xsd(177),LE_Source,gmi:LE_Source_Type,gmd:LI_Source,FALSE,FALSE
gmi\dataQualityInformation.xsd(196),QE_Usability,gmi:QE_Usability_Type,gmd:AbstractDQ_Element,FALSE,FALSE
gmi\metadataEntitySet.xsd(33),MI_Metadata,gmi:MI_Metadata_Type,gmd:MD_Metadata,FALSE,FALSE
gmi\spatialRepresentationInformation.xsd(29),MI_Georeferenceable,gmi:MI_Georeferenceable_Type,gmd:MD_Georeferenceable,FALSE,FALSE
gmi\spatialRepresentationInformation.xsd(73),MI_GCPCollection,gmi:MI_GCPCollection_Type,gmi:AbstractMI_GeolocationInformation,FALSE,FALSE
gmi\spatialRepresentationInformation.xsd(117),MI_Georectified,gmi:MI_Georectified_Type,gmd:MD_Georectified,FALSE,FALSE
gml\coordinateOperations.xsd(17),AbstractCoordinateOperation,gml:AbstractCoordinateOperationType,gml:Definition,TRUE,FALSE
gml\coordinateOperations.xsd(77),AbstractSingleOperation,gml:AbstractCoordinateOperationType,gml:AbstractCoordinateOperation,TRUE,FALSE
gml\coordinateOperations.xsd(96),AbstractOperation,gml:AbstractCoordinateOperationType,gml:AbstractSingleOperation,TRUE,FALSE
gml\coordinateOperations.xsd(115),AbstractGeneralConversion,gml:AbstractGeneralConversionType,gml:AbstractOperation,TRUE,FALSE
gml\coordinateOperations.xsd(153),AbstractGeneralTransformation,gml:AbstractGeneralTransformationType,gml:AbstractOperation,TRUE,FALSE
gml\coordinateOperations.xsd(194),ConcatenatedOperation,gml:ConcatenatedOperationType,gml:AbstractCoordinateOperation,FALSE,FALSE
gml\coordinateOperations.xsd(214),usesSingleOperation,gml:CoordinateOperationPropertyType,gml:coordOperation,FALSE,FALSE
gml\coordinateOperations.xsd(233),PassThroughOperation,gml:PassThroughOperationType,gml:AbstractSingleOperation,FALSE,FALSE
gml\coordinateOperations.xsd(255),usesOperation,gml:CoordinateOperationPropertyType,gml:coordOperation,FALSE,FALSE
gml\coordinateOperations.xsd(274),Conversion,gml:ConversionType,gml:AbstractGeneralConversion,FALSE,FALSE
gml\coordinateOperations.xsd(296),usesMethod,gml:OperationMethodPropertyType,gml:method,FALSE,FALSE
gml\coordinateOperations.xsd(306),usesValue,gml:AbstractGeneralParameterValuePropertyType,gml:parameterValue,FALSE,FALSE
gml\coordinateOperations.xsd(325),Transformation,gml:TransformationType,gml:AbstractGeneralTransformation,FALSE,FALSE
gml\coordinateOperations.xsd(356),AbstractGeneralParameterValue,gml:AbstractGeneralParameterValueType,gml:AbstractObject,TRUE,FALSE
gml\coordinateOperations.xsd(373),ParameterValue,gml:ParameterValueType,gml:AbstractGeneralParameterValue,FALSE,FALSE
gml\coordinateOperations.xsd(442),valueOfParameter,gml:OperationParameterPropertyType,gml:operationParameter,FALSE,FALSE
gml\coordinateOperations.xsd(447),ParameterValueGroup,gml:ParameterValueGroupType,gml:AbstractGeneralParameterValue,FALSE,FALSE
gml\coordinateOperations.xsd(463),includesValue,gml:AbstractGeneralParameterValuePropertyType,gml:parameterValue,FALSE,FALSE
gml\coordinateOperations.xsd(473),valuesOfGroup,gml:OperationParameterGroupPropertyType,gml:group,FALSE,FALSE
gml\coordinateOperations.xsd(478),OperationMethod,gml:OperationMethodType,gml:Definition,FALSE,FALSE
gml\coordinateOperations.xsd(501),methodFormula,gml:CodeType,gml:formula,FALSE,FALSE
gml\coordinateOperations.xsd(521),usesParameter,gml:AbstractGeneralOperationParameterPropertyType,gml:generalOperationParameter,FALSE,FALSE
gml\coordinateOperations.xsd(540),AbstractGeneralOperationParameter,gml:AbstractGeneralOperationParameterType,gml:Definition,TRUE,FALSE
gml\coordinateOperations.xsd(573),OperationParameter,gml:OperationParameterType,gml:AbstractGeneralOperationParameter,FALSE,FALSE
gml\coordinateOperations.xsd(599),OperationParameterGroup,gml:OperationParameterGroupType,gml:AbstractGeneralOperationParameter,FALSE,FALSE
